stage5c2_track_id,stage5c2_001,stage5c2_002,stage5c2_003,stage5c2_004,stage5c2_005,stage5c2_006,stage5c2_007,stage5c2_009,stage5c2_010,stage5c2_011,stage5c2_012,stage5c2_013,stage5c2_014,stage5c2_015,stage5c2_016,stage5c2_017,stage5c2_018,stage5c2_020,stage5c2_021,stage5c2_022,stage5c2_023,stage5c2_024,stage5c2_025,stage5c2_026,stage5c2_027,stage5c2_028,stage5c2_029,stage5c2_030,stage5c2_031,stage5c2_032,stage5c2_033,stage5c2_034,stage5c2_035,stage5c2_036,stage5c2_037,stage5c2_038,stage5c2_039,stage5c2_040,stage5c2_041,stage5c2_042,stage5c2_043,stage5c2_044,stage5c2_045,stage5c2_046,stage5c2_047,stage5c2_048,stage5c2_049,stage5c2_050,stage5c2_051,stage5c2_052,stage5c2_053,stage5c2_054,stage5c2_055,stage5c2_056,stage5c2_057,stage5c2_058,stage5c2_059,stage5c2_060,stage5c2_061,stage5c2_062,stage5c2_063,stage5c2_064,stage5c2_065,stage5c2_066,stage5c2_067,stage5c2_068,stage5c2_069,stage5c2_070,stage5c2_071,stage5c2_072,stage5c2_073,stage5c2_074,stage5c2_075,stage5c2_076,stage5c2_077,stage5c2_078,stage5c2_079,stage5c2_080,stage5c2_081,stage5c2_082,stage5c2_083,stage5c2_084,stage5c2_085,stage5c2_086,stage5c2_087,stage5c2_088,stage5c2_089,stage5c2_090,stage5c2_091,stage5c2_092,stage5c2_093,stage5c2_094,stage5c2_095,stage5c2_096,stage5c2_097,stage5c2_098,stage5c2_099,stage5c2_100
stage5c2_012,0.653091157,0.565933323,0.747321350,0.769233257,0.742235444,0.740718735,0.565777861,0.705143459,0.704195024,0.651742519,1.000000000,0.737549013,0.535478057,0.674061501,0.596197372,0.686817363,0.639398169,0.698798217,0.716434373,0.718262050,0.760013802,0.820534135,0.738317123,0.775103432,0.462281946,0.655509314,0.694284442,0.670011483,0.745623983,0.579355042,0.688464475,0.726661364,0.854363552,0.796344602,0.813595298,0.730595268,0.823044163,0.660015184,0.546810348,0.623708444,0.573142572,0.534026750,0.836395393,0.758207865,0.817916300,0.713096939,0.701537759,0.552001301,0.488875870,0.573231915,0.439530622,0.704079758,0.716473899,0.645757922,0.493334775,0.781859971,0.579656610,0.576478261,0.720858587,0.788212845,0.678325514,0.819930515,0.687202654,0.692956477,0.685285437,0.634170377,0.731424584,0.696686650,0.627519761,0.671902733,0.761116194,0.803567143,0.643215519,0.703055693,0.636073942,0.571400870,0.853917863,0.771735462,0.674201235,0.570074395,0.470147634,0.623192454,0.534358824,0.786463777,0.713263055,0.739369595,0.699317028,0.655450552,0.591846589,0.646998001,0.660007395,0.652428114,0.847995454,0.706539167,0.760085069,0.623990992,0.576121299,0.558701737
stage5c2_013,0.441748772,0.495094614,0.583575439,0.606674338,0.661131636,0.620557231,0.469785236,0.488762888,0.514810961,0.653241531,0.737549013,1.000000000,0.488125295,0.490664241,0.540900959,0.745981293,0.459225704,0.537994731,0.487966889,0.718678916,0.690559103,0.720479449,0.493029970,0.687151158,0.347926333,0.492989319,0.657018949,0.458695203,0.565165200,0.455497350,0.701407730,0.478333233,0.618812340,0.628903733,0.576436084,0.482430386,0.689319207,0.553904043,0.533673135,0.453101887,0.577075437,0.419110541,0.665768039,0.500921428,0.635157925,0.662816321,0.660336285,0.404981197,0.328836971,0.462631763,0.354872717,0.634670362,0.658327670,0.518131739,0.586620484,0.579440254,0.431393272,0.524160026,0.681574890,0.720624111,0.618972446,0.561977013,0.709467372,0.489951792,0.671419037,0.761984301,0.608048650,0.489560672,0.479612150,0.606411212,0.686601137,0.583878510,0.561178720,0.562037614,0.554087520,0.350990671,0.734333301,0.623068891,0.533893438,0.440888252,0.259172140,0.619764032,0.565347272,0.648044109,0.639022489,0.586073938,0.535458733,0.548622809,0.504676712,0.629313767,0.518299288,0.658837942,0.588516646,0.506517044,0.519663710,0.500240593,0.439007882,0.466863054
stage5c2_014,0.725032790,0.886749066,0.770851401,0.824574104,0.591928764,0.579447194,0.872828371,0.723246904,0.673327681,0.489905489,0.535478057,0.488125295,1.000000000,0.521501911,0.694145311,0.476389880,0.902022893,0.790351177,0.407318888,0.524438668,0.403079019,0.531009695,0.613273069,0.675767136,0.717234105,0.887208825,0.480608402,0.534303904,0.605236707,0.786918982,0.626222998,0.745619231,0.574928605,0.716261069,0.521046733,0.472296675,0.617888893,0.628050863,0.826972488,0.782311604,0.346395018,0.764378102,0.482741296,0.733052732,0.747041151,0.701072227,0.480500544,0.739173759,0.810123165,0.866621940,0.745689753,0.748816310,0.650665692,0.856802499,0.580996647,0.732766359,0.845087247,0.845444725,0.557431416,0.491953988,0.585866376,0.538410047,0.753844510,0.678878215,0.711476745,0.501695316,0.664899772,0.731512775,0.762676883,0.740025944,0.569371964,0.797765485,0.683423119,0.778275372,0.800487085,0.749432547,0.535616379,0.674603642,0.782031423,0.533773235,0.719344910,0.541612945,0.675554995,0.648155055,0.688770332,0.812791208,0.831363801,0.778752278,0.759185042,0.610031537,0.833317040,0.594005901,0.594625292,0.691059307,0.759162946,0.751457997,0.754476915,0.747408915
stage5c2_015,0.663084219,0.591752663,0.729037141,0.603871119,0.616059530,0.747008476,0.565173924,0.776070028,0.505584384,0.678124471,0.674061501,0.490664241,0.521501911,1.000000000,0.610946128,0.503076165,0.632751364,0.630166403,0.780034708,0.649174137,0.518314527,0.621293007,0.640182269,0.710220701,0.656023147,0.665521551,0.518191198,0.737189573,0.707392873,0.596376876,0.591338523,0.675817765,0.674347064,0.662641054,0.603733590,0.697997471,0.650857795,0.631939407,0.467499379,0.701500645,0.596819282,0.641683966,0.641639279,0.677314534,0.690751677,0.633507887,0.616814939,0.697389898,0.636954136,0.664838322,0.586604133,0.684162959,0.659416887,0.638399391,0.423349269,0.633863835,0.696002515,0.583983723,0.508979193,0.592812235,0.580099285,0.617605380,0.695563973,0.686135903,0.620217807,0.483489209,0.747077529,0.784481759,0.769941385,0.641820700,0.607473654,0.704086668,0.598979835,0.739190166,0.605639399,0.663419527,0.663964808,0.761407815,0.733282737,0.647688102,0.616606441,0.516015622,0.506943847,0.637848907,0.619441178,0.732092048,0.643331120,0.633827058,0.690066433,0.587687990,0.683484426,0.802790361,0.622111641,0.769766776,0.749417186,0.675767685,0.592980710,0.650162781
stage5c2_016,0.684045822,0.656428877,0.695913705,0.626115502,0.522791065,0.606509391,0.700349674,0.671699544,0.440046300,0.628301751,0.596197372,0.540900959,0.694145311,0.610946128,1.000000000,0.418025461,0.695177908,0.649198052,0.370317709,0.608064061,0.515529679,0.508499242,0.460491251,0.630167439,0.744966486,0.775462854,0.475718897,0.559084809,0.532665278,0.594464701,0.519029481,0.528857466,0.618232277,0.590950045,0.540052180,0.438516508,0.617787767,0.475903951,0.582603710,0.711004579,0.441802303,0.588402779,0.472203447,0.631720570,0.621590820,0.695474681,0.584330360,0.653831765,0.656839441,0.655813950,0.699122906,0.572871418,0.738074854,0.712734136,0.423112020,0.597828129,0.717872137,0.534262950,0.535597808,0.532266261,0.555302163,0.492646256,0.713576192,0.603042010,0.525739169,0.423540018,0.597665806,0.692182373,0.740317432,0.692757509,0.550076154,0.679140177,0.486585323,0.725919885,0.538771850,0.603602182,0.643178811,0.641817057,0.720933582,0.764686650,0.578106814,0.589483597,0.404690505,0.584736608,0.668208978,0.751791933,0.747685097,0.687214757,0.698670668,0.446158111,0.754421283,0.696404519,0.572369654,0.602724392,0.593035020,0.599419608,0.618284115,0.651254074
stage5c2_017,0.483979104,0.463006743,0.566649861,0.690741216,0.741815044,0.581507916,0.450626367,0.546435239,0.664063523,0.619323467,0.686817363,0.745981293,0.476389880,0.503076165,0.418025461,1.000000000,0.454687311,0.604260905,0.503131170,0.717683644,0.602179419,0.652243416,0.494292808,0.683238188,0.445267865,0.455433922,0.581681323,0.493842932,0.648824888,0.424209664,0.694793474,0.590751554,0.587104913,0.600594070,0.596891568,0.547552531,0.599254707,0.522495851,0.512752418,0.435215052,0.570538092,0.466771714,0.708019560,0.495996946,0.656116213,0.606117806,0.543041883,0.495140460,0.393152541,0.443807633,0.341704640,0.702026595,0.614783955,0.522509428,0.628029375,0.619461106,0.441913980,0.566652786,0.704746056,0.670118135,0.686367935,0.580399407,0.673427404,0.548780315,0.763945296,0.749873589,0.683752153,0.527248342,0.486433048,0.630056922,0.654610903,0.612820766,0.600771340,0.609904320,0.570341255,0.394893087,0.666062954,0.705688316,0.535247721,0.390221075,0.311059165,0.622184081,0.657522485,0.630871613,0.531869650,0.569147011,0.533669823,0.571850556,0.470515035,0.681985834,0.464000466,0.544163172,0.614037031,0.602880458,0.583327020,0.536789803,0.555792160,0.530454750
stage5c2_018,0.843744472,0.918626879,0.834242754,0.790983965,0.560655898,0.624258305,0.861641672,0.811925215,0.584013969,0.480048347,0.639398169,0.459225704,0.902022893,0.632751364,0.695177908,0.454687311,1.000000000,0.818505304,0.467755543,0.513862316,0.464056546,0.567312021,0.654259769,0.667859841,0.768269266,0.918136774,0.514525639,0.551160240,0.601993201,0.742614322,0.632606596,0.761439878,0.635519467,0.730296059,0.572778857,0.548919058,0.651661916,0.620209991,0.803939148,0.864556755,0.343998150,0.772173983,0.583323062,0.806326445,0.760779800,0.728274055,0.515701297,0.724912752,0.801025747,0.863773171,0.710758998,0.748684965,0.577858824,0.869491319,0.563715381,0.731460858,0.886694203,0.761399284,0.565862730,0.511118650,0.581550935,0.619791373,0.702129644,0.651599517,0.660353948,0.465953050,0.740062987,0.823084325,0.816939113,0.678772395,0.593874653,0.830746189,0.658135654,0.858966575,0.780040173,0.810427670,0.607724335,0.695436051,0.867288501,0.528388082,0.780896656,0.518652868,0.627601857,0.620948486,0.656085581,0.885121458,0.835548788,0.826219358,0.828702724,0.569139775,0.847680697,0.612144780,0.686953917,0.811521628,0.811607396,0.797405185,0.737100233,0.750342648
stage5c2_020,0.844870488,0.746911738,0.827852470,0.845393325,0.673553906,0.737643357,0.796541177,0.797998226,0.678858170,0.565361425,0.698798217,0.537994731,0.790351177,0.630166403,0.649198052,0.604260905,0.818505304,1.000000000,0.481681417,0.553931688,0.597405280,0.629810131,0.708155416,0.683774547,0.685394867,0.853911793,0.550799325,0.699997738,0.700546742,0.722824967,0.613576760,0.769395923,0.716901436,0.788611297,0.707831898,0.619682933,0.775275131,0.654744295,0.710078730,0.824834535,0.421863556,0.635540401,0.679639108,0.828868489,0.767224414,0.714558557,0.560074285,0.732448350,0.767311564,0.784406714,0.714204035,0.717857456,0.636513180,0.812156939,0.497151118,0.789942468,0.801107149,0.679577813,0.711157911,0.591839307,0.617054888,0.711762483,0.731569442,0.734873581,0.656689665,0.485070831,0.811155075,0.782847383,0.792135137,0.692950396,0.601578005,0.824364470,0.667275823,0.890707443,0.706558915,0.762943825,0.694479236,0.722410833,0.816908957,0.585732651,0.787457303,0.507885355,0.680263580,0.739947210,0.641447486,0.826622189,0.837131868,0.784879902,0.781491740,0.553284017,0.843569590,0.659364140,0.759568168,0.814972399,0.820083395,0.746871702,0.722400295,0.718685788
stage5c2_021,0.482387003,0.447644032,0.605308818,0.627160348,0.665787307,0.666855843,0.395836314,0.597025867,0.610497939,0.628584904,0.716434373,0.487966889,0.407318888,0.780034708,0.370317709,0.503131170,0.467755543,0.481681417,1.000000000,0.621585822,0.515733153,0.676998122,0.694492848,0.637272983,0.372649084,0.519741504,0.514839692,0.670047823,0.756335171,0.531076296,0.592253771,0.630021478,0.668673917,0.661319711,0.649859244,0.744316097,0.616252143,0.645403807,0.365463224,0.504164670,0.577392511,0.497053961,0.666451941,0.571147648,0.673528407,0.520767554,0.562207586,0.509688313,0.417197860,0.530885160,0.357192669,0.604457750,0.640522039,0.482528190,0.398851191,0.638864615,0.516808895,0.536492962,0.462228335,0.640546731,0.587179259,0.694442994,0.570685833,0.601696556,0.622792738,0.524920280,0.587053145,0.579160400,0.549108933,0.556673136,0.600635192,0.648982906,0.589627575,0.535294406,0.558696468,0.438659416,0.627151425,0.692842148,0.514562557,0.470624259,0.396921428,0.529857167,0.512849330,0.637050733,0.588954634,0.546530546,0.523723854,0.434578421,0.453888277,0.598924675,0.518354790,0.677590823,0.640151354,0.633751310,0.674748446,0.507256612,0.514584071,0.466416372
stage5c2_022,0.486827767,0.542896292,0.657122134,0.668989603,0.850884829,0.625734173,0.548688891,0.588177017,0.685699045,0.809888219,0.718262050,0.718678916,0.524438668,0.649174137,0.608064061,0.717683644,0.513862316,0.553931688,0.621585822,1.000000000,0.734690358,0.783195003,0.506201678,0.805712215,0.426556745,0.562015215,0.705304678,0.560855899,0.695886248,0.612285549,0.739415466,0.597275141,0.707635509,0.724314882,0.713429531,0.632962287,0.658587671,0.538911009,0.445251746,0.516375969,0.752301488,0.619926162,0.648563716,0.630493354,0.795218408,0.628553403,0.713778962,0.591441143,0.513788361,0.585067208,0.452879405,0.747204340,0.780935455,0.573437283,0.625370054,0.781637339,0.533401382,0.628093182,0.776029278,0.689630706,0.704167167,0.677403993,0.661127148,0.696663100,0.782094685,0.756749004,0.627404118,0.612199572,0.606180122,0.789066722,0.813752326,0.731752615,0.702051285,0.627287126,0.673195356,0.475855424,0.731230439,0.742324060,0.609580655,0.512359327,0.381536231,0.754052655,0.492954872,0.683006686,0.723110112,0.662249725,0.661155939,0.575336208,0.625584985,0.720227084,0.570101786,0.725499163,0.685773742,0.576318912,0.581937633,0.458557345,0.466119522,0.618814232
