stage5c2_track_id,stage5c2_001,stage5c2_002,stage5c2_003,stage5c2_004,stage5c2_005,stage5c2_006,stage5c2_007,stage5c2_009,stage5c2_010,stage5c2_011,stage5c2_012,stage5c2_013,stage5c2_014,stage5c2_015,stage5c2_016,stage5c2_017,stage5c2_018,stage5c2_020,stage5c2_021,stage5c2_022,stage5c2_023,stage5c2_024,stage5c2_025,stage5c2_026,stage5c2_027,stage5c2_028,stage5c2_029,stage5c2_030,stage5c2_031,stage5c2_032,stage5c2_033,stage5c2_034,stage5c2_035,stage5c2_036,stage5c2_037,stage5c2_038,stage5c2_039,stage5c2_040,stage5c2_041,stage5c2_042,stage5c2_043,stage5c2_044,stage5c2_045,stage5c2_046,stage5c2_047,stage5c2_048,stage5c2_049,stage5c2_050,stage5c2_051,stage5c2_052,stage5c2_053,stage5c2_054,stage5c2_055,stage5c2_056,stage5c2_057,stage5c2_058,stage5c2_059,stage5c2_060,stage5c2_061,stage5c2_062,stage5c2_063,stage5c2_064,stage5c2_065,stage5c2_066,stage5c2_067,stage5c2_068,stage5c2_069,stage5c2_070,stage5c2_071,stage5c2_072,stage5c2_073,stage5c2_074,stage5c2_075,stage5c2_076,stage5c2_077,stage5c2_078,stage5c2_079,stage5c2_080,stage5c2_081,stage5c2_082,stage5c2_083,stage5c2_084,stage5c2_085,stage5c2_086,stage5c2_087,stage5c2_088,stage5c2_089,stage5c2_090,stage5c2_091,stage5c2_092,stage5c2_093,stage5c2_094,stage5c2_095,stage5c2_096,stage5c2_097,stage5c2_098,stage5c2_099,stage5c2_100
stage5c2_012,0.598537084,0.613695469,0.700969461,0.753363814,0.746083196,0.735999721,0.613975645,0.686995662,0.711122774,0.668765930,1.000000000,0.732392468,0.535988694,0.679452579,0.579815573,0.695160894,0.638887472,0.643434867,0.729226468,0.715560502,0.746097559,0.809100696,0.712526463,0.777257718,0.466025129,0.642337688,0.739826261,0.662550593,0.738253176,0.530889036,0.693868484,0.720736335,0.828164884,0.823328748,0.806338796,0.734944210,0.803137489,0.682171241,0.514344271,0.616211613,0.567628708,0.542170309,0.835219424,0.722479868,0.826278674,0.655389680,0.683581180,0.523713988,0.498109115,0.520867856,0.439679703,0.699620374,0.696438362,0.638650403,0.458261586,0.769976886,0.581275719,0.597814015,0.704772185,0.775979595,0.642997710,0.821228294,0.617616951,0.674200896,0.694664709,0.656682791,0.681963061,0.624904997,0.626054403,0.682284571,0.774263575,0.770977603,0.648257850,0.669566430,0.642665602,0.598822118,0.828397436,0.760644273,0.628118929,0.578730096,0.478332460,0.535317888,0.513864827,0.778619639,0.728968053,0.746998777,0.660086500,0.638474274,0.616107063,0.641562519,0.655024885,0.675010354,0.857395806,0.700328555,0.739950655,0.593828175,0.540256633,0.565191421
stage5c2_013,0.417007751,0.506079229,0.547087443,0.609451355,0.622892665,0.600690318,0.532531248,0.497968951,0.503335381,0.623901531,0.732392468,1.000000000,0.473342182,0.488803110,0.510449937,0.694103275,0.491934074,0.522153196,0.506049287,0.673865956,0.608858099,0.658464267,0.508031645,0.656207902,0.348924619,0.496990967,0.626917980,0.456772060,0.554924607,0.431516704,0.670251610,0.488332160,0.601978927,0.639380085,0.554458342,0.485674631,0.638247306,0.533340161,0.504618188,0.464665260,0.522036985,0.415825984,0.642328785,0.514638311,0.626539011,0.614894191,0.610826103,0.389963307,0.347010649,0.414807990,0.326358939,0.580529175,0.615836864,0.516410186,0.487448311,0.563675904,0.434273986,0.505065430,0.636647016,0.672819749,0.543930226,0.554403300,0.636350342,0.469487954,0.645064680,0.689157520,0.574227936,0.453712746,0.484227593,0.604660249,0.630367568,0.579534338,0.523588881,0.527670473,0.537057037,0.388513262,0.682898255,0.608042328,0.486733931,0.434235673,0.299394959,0.520265176,0.501515389,0.624883716,0.622641636,0.593106672,0.529818373,0.507255556,0.497885462,0.563383377,0.502874231,0.614779127,0.614216389,0.500205895,0.525170536,0.477198182,0.399712064,0.466552825
stage5c2_014,0.685625071,0.843012181,0.724393367,0.789894104,0.581225571,0.568014054,0.780462809,0.704079492,0.652124151,0.507094820,0.535988694,0.473342182,1.000000000,0.572149980,0.693683639,0.490992860,0.874456885,0.717710548,0.441272164,0.531541072,0.413100622,0.528098871,0.625519982,0.683537745,0.678739533,0.855101754,0.501260201,0.559652435,0.616792952,0.786834566,0.616121119,0.708275848,0.588935055,0.654373361,0.478723968,0.475322763,0.592678585,0.683968979,0.766159626,0.731009842,0.384666810,0.770858691,0.473617626,0.714311792,0.747296653,0.692907307,0.472852341,0.745465088,0.797640147,0.850023667,0.714462546,0.776096937,0.672256833,0.821268903,0.564252457,0.721696250,0.801889327,0.847310180,0.546059470,0.505602116,0.559740756,0.510010234,0.747678598,0.668037363,0.693657571,0.529643833,0.640158782,0.719286140,0.746419758,0.730606916,0.572635563,0.777521244,0.697926824,0.732387892,0.808562999,0.757095988,0.573243372,0.674351125,0.751913223,0.579974514,0.713553724,0.462816255,0.653555528,0.647814748,0.728994597,0.794725851,0.814111442,0.762730470,0.742026836,0.652846684,0.804429671,0.604663700,0.567544605,0.660778360,0.744165139,0.729097171,0.724086362,0.732130545
stage5c2_015,0.660939724,0.632625520,0.725828925,0.627814218,0.600650431,0.768081713,0.587300989,0.773667093,0.532155837,0.728915561,0.679452579,0.488803110,0.572149980,1.000000000,0.657335250,0.491227457,0.656703053,0.636772182,0.791170699,0.651770642,0.529315605,0.608335055,0.666081367,0.719161428,0.657386428,0.700635204,0.539828354,0.772330531,0.726550077,0.589865965,0.607033789,0.666322857,0.672351451,0.645937525,0.603361678,0.700649702,0.663005104,0.683308006,0.466130064,0.708087601,0.612905077,0.639308811,0.643189373,0.664592751,0.692080974,0.637331673,0.592357712,0.695046791,0.662417817,0.675134373,0.590128834,0.719552625,0.699196766,0.682744373,0.403370072,0.629354680,0.717801535,0.627891468,0.529060647,0.620776383,0.578345965,0.598459690,0.669495379,0.684187965,0.616797754,0.526368421,0.695505892,0.758810611,0.793705541,0.640252455,0.622093469,0.705280294,0.626605758,0.717864797,0.621478892,0.704748701,0.685788656,0.755931981,0.707867296,0.706138352,0.662787222,0.434768499,0.493139321,0.669486415,0.683427393,0.759289553,0.649467328,0.637313863,0.717975520,0.592461728,0.726854153,0.836907245,0.616670051,0.767769903,0.775210857,0.651389920,0.599057929,0.653402408
stage5c2_016,0.669586855,0.667675698,0.675217832,0.622516932,0.520191413,0.613778575,0.674918756,0.650985679,0.437559873,0.643977307,0.579815573,0.510449937,0.693683639,0.657335250,1.000000000,0.406261101,0.705924289,0.651167836,0.437439732,0.614309663,0.496709703,0.464935164,0.512137216,0.614490985,0.703014753,0.783423183,0.483435211,0.582421749,0.559381782,0.628141506,0.556984899,0.562933983,0.627866455,0.566516744,0.521933594,0.450658563,0.599259081,0.512651550,0.576541309,0.700276991,0.472378141,0.618000997,0.499905592,0.633063058,0.614335807,0.721878398,0.602025009,0.644697163,0.637671782,0.683855269,0.660948657,0.607946115,0.731065710,0.710765414,0.441906682,0.579219313,0.726252710,0.590739911,0.539869324,0.572540921,0.572414039,0.442657727,0.711705110,0.575512046,0.515605472,0.440886095,0.600261709,0.684707516,0.704056165,0.658199650,0.540063969,0.690398317,0.538092486,0.707880803,0.583112380,0.627789249,0.631774705,0.616885391,0.677310484,0.799871637,0.601184225,0.551278899,0.442531985,0.585992428,0.691781023,0.756080492,0.745210696,0.646469442,0.707540570,0.483587168,0.751592658,0.705905376,0.564473610,0.619468405,0.621400836,0.586159531,0.569255447,0.647682970
stage5c2_017,0.438210798,0.481526668,0.518448122,0.690643401,0.746385642,0.567205945,0.495758743,0.575034204,0.709434472,0.578304649,0.695160894,0.694103275,0.490992860,0.491227457,0.406261101,1.000000000,0.473317442,0.559457242,0.470606945,0.692902708,0.574660649,0.680394888,0.454852949,0.722730723,0.495877371,0.491025897,0.587267856,0.515960293,0.668734661,0.409330486,0.661892960,0.578267073,0.566531622,0.581711826,0.570716048,0.567295944,0.551462399,0.558635225,0.474393430,0.405420932,0.560747278,0.435360381,0.691980889,0.485501494,0.677549217,0.571180791,0.515843125,0.523278249,0.444394562,0.380815016,0.356062029,0.688649909,0.608766160,0.528353748,0.579049680,0.650184796,0.463308034,0.558401869,0.651735822,0.636718162,0.641843262,0.628516571,0.600685485,0.601540898,0.789276746,0.769921663,0.632626105,0.505246043,0.511836461,0.673302905,0.665501555,0.611189120,0.562876996,0.595449467,0.539267316,0.428248729,0.682114498,0.737229486,0.574336134,0.378910834,0.341737730,0.520104670,0.610726490,0.653947548,0.563614436,0.597128496,0.540865218,0.598296146,0.456622320,0.682704802,0.497682018,0.542714106,0.627299942,0.555505476,0.590406584,0.545519474,0.569188769,0.565787305
stage5c2_018,0.819832014,0.882380105,0.823922824,0.806720391,0.574003680,0.645755299,0.834219654,0.787414106,0.573751195,0.515463681,0.638887472,0.491934074,0.874456885,0.656703053,0.705924289,0.473317442,1.000000000,0.801870614,0.512359394,0.535876066,0.477381528,0.552092598,0.700367994,0.673442664,0.714161838,0.901257151,0.538599394,0.571226240,0.596804973,0.743878622,0.660199656,0.748580453,0.669270169,0.714576632,0.547469933,0.551704398,0.649068884,0.671441902,0.784517308,0.852806373,0.377788427,0.795050829,0.598170137,0.803918773,0.754315947,0.747035880,0.554040740,0.711599359,0.766587410,0.846470092,0.644124978,0.753623609,0.621728773,0.848358258,0.538511301,0.734648339,0.824093856,0.764233211,0.589449514,0.553566747,0.598872585,0.589737538,0.723204104,0.634010930,0.663980164,0.490528247,0.759627082,0.803400938,0.778197511,0.663918613,0.599589135,0.832116716,0.680243184,0.831858675,0.792328522,0.820002706,0.606701704,0.691779210,0.817901089,0.579154072,0.777070335,0.457027643,0.648925942,0.631246618,0.710700983,0.872487814,0.848680441,0.794247159,0.820157590,0.585690591,0.834623475,0.631264549,0.681431233,0.803503794,0.822755614,0.766720613,0.693145266,0.724573281
stage5c2_020,0.802776197,0.721591764,0.793069414,0.798669702,0.608068033,0.757571633,0.773001205,0.761512716,0.591849984,0.564577972,0.643434867,0.522153196,0.717710548,0.636772182,0.651167836,0.559457242,0.801870614,1.000000000,0.495778836,0.525445068,0.549116272,0.566381389,0.720177042,0.645091236,0.669761601,0.824322943,0.497436883,0.681695304,0.650912029,0.683951670,0.602664627,0.741100232,0.688568239,0.694820163,0.627585922,0.555650007,0.754658437,0.645112845,0.686412825,0.792289418,0.417029129,0.627363684,0.658144648,0.781051733,0.680069671,0.706383890,0.548130784,0.677490076,0.687239533,0.754510388,0.613889108,0.664372388,0.637348944,0.769799014,0.471606252,0.707295075,0.735851367,0.654126890,0.667230766,0.612868249,0.576335740,0.605635710,0.710508280,0.639296697,0.616081658,0.460024728,0.829770610,0.733682954,0.738034744,0.617729799,0.528042635,0.776353770,0.633908597,0.862855602,0.659544392,0.750343366,0.645940067,0.687659080,0.761794378,0.611003901,0.751340708,0.432665848,0.673916455,0.711244874,0.644589353,0.791587608,0.816705246,0.734925201,0.754381212,0.499509461,0.815679676,0.647383972,0.722254416,0.816300310,0.790240979,0.719312943,0.642470203,0.666059125
stage5c2_021,0.482338684,0.539771322,0.598998791,0.630891740,0.634606230,0.708054787,0.487111426,0.582996249,0.564221408,0.674602783,0.729226468,0.506049287,0.441272164,0.791170699,0.437439732,0.470606945,0.512359394,0.495778836,1.000000000,0.622765672,0.563600472,0.653405590,0.697708430,0.631022835,0.402280247,0.538980455,0.557596459,0.664933809,0.719941624,0.500930833,0.618328287,0.622209705,0.684127818,0.685628323,0.666997409,0.729566450,0.647174420,0.656027098,0.386260822,0.579504867,0.539752388,0.523495172,0.671857725,0.572220856,0.673413450,0.505776195,0.530848579,0.485848423,0.426272200,0.537581220,0.370411417,0.607683291,0.640739351,0.536427021,0.354207195,0.599743046,0.548957251,0.572307651,0.490245537,0.663722453,0.548532132,0.666584774,0.551908585,0.558473653,0.599634407,0.527467093,0.557226170,0.553924874,0.564561678,0.549363512,0.600348264,0.643168509,0.606640658,0.532329684,0.579036817,0.513432412,0.628953548,0.662629792,0.482452432,0.544192151,0.443284692,0.411598045,0.469611947,0.644268166,0.637970652,0.596853265,0.525114764,0.456408344,0.530703307,0.573308668,0.572344716,0.727104222,0.650001593,0.656059691,0.680366589,0.501869768,0.463477095,0.473159987
stage5c2_022,0.487766935,0.584793063,0.638145821,0.679820149,0.848418408,0.609239091,0.558939242,0.579854239,0.684373954,0.787343672,0.715560502,0.673865956,0.531541072,0.651770642,0.614309663,0.692902708,0.535876066,0.525445068,0.622765672,1.000000000,0.728396704,0.750781501,0.529590448,0.790221801,0.451678464,0.596853569,0.707390507,0.586216859,0.708919686,0.590415670,0.728917199,0.572605034,0.726114435,0.695281349,0.722510391,0.654760821,0.613133679,0.567937303,0.403855102,0.511835747,0.744827844,0.605256329,0.681189102,0.618255511,0.788944134,0.606300646,0.698865329,0.602393514,0.510336442,0.544817445,0.434992730,0.743779671,0.769503703,0.583882707,0.582682573,0.758676469,0.565448443,0.658180586,0.787419758,0.672500194,0.704801522,0.682116765,0.606955425,0.689733878,0.744946808,0.745882556,0.588426808,0.584293313,0.592070448,0.766256234,0.808543526,0.737210834,0.711861382,0.611495711,0.672861374,0.520630861,0.725272521,0.733667450,0.569453463,0.550323469,0.399009775,0.697441790,0.482065936,0.698202282,0.744319416,0.677220851,0.642333272,0.539783293,0.593153998,0.702883616,0.586485397,0.734016177,0.680509043,0.566197759,0.597296083,0.439586175,0.453005826,0.644691560
