stage5c2_track_id,stage5c2_001,stage5c2_002,stage5c2_003,stage5c2_004,stage5c2_005,stage5c2_006,stage5c2_007,stage5c2_009,stage5c2_010,stage5c2_011,stage5c2_012,stage5c2_013,stage5c2_014,stage5c2_015,stage5c2_016,stage5c2_017,stage5c2_018,stage5c2_020,stage5c2_021,stage5c2_022,stage5c2_023,stage5c2_024,stage5c2_025,stage5c2_026,stage5c2_027,stage5c2_028,stage5c2_029,stage5c2_030,stage5c2_031,stage5c2_032,stage5c2_033,stage5c2_034,stage5c2_035,stage5c2_036,stage5c2_037,stage5c2_038,stage5c2_039,stage5c2_040,stage5c2_041,stage5c2_042,stage5c2_043,stage5c2_044,stage5c2_045,stage5c2_046,stage5c2_047,stage5c2_048,stage5c2_049,stage5c2_050,stage5c2_051,stage5c2_052,stage5c2_053,stage5c2_054,stage5c2_055,stage5c2_056,stage5c2_057,stage5c2_058,stage5c2_059,stage5c2_060,stage5c2_061,stage5c2_062,stage5c2_063,stage5c2_064,stage5c2_065,stage5c2_066,stage5c2_067,stage5c2_068,stage5c2_069,stage5c2_070,stage5c2_071,stage5c2_072,stage5c2_073,stage5c2_074,stage5c2_075,stage5c2_076,stage5c2_077,stage5c2_078,stage5c2_079,stage5c2_080,stage5c2_081,stage5c2_082,stage5c2_083,stage5c2_084,stage5c2_085,stage5c2_086,stage5c2_087,stage5c2_088,stage5c2_089,stage5c2_090,stage5c2_091,stage5c2_092,stage5c2_093,stage5c2_094,stage5c2_095,stage5c2_096,stage5c2_097,stage5c2_098,stage5c2_099,stage5c2_100
stage5c2_060,0.603833901,0.831487920,0.653817480,0.692322628,0.730084987,0.621719162,0.608874958,0.567672740,0.591254360,0.617301581,0.651949129,0.456616796,0.852043390,0.739298398,0.734038653,0.537466853,0.771423720,0.589550373,0.663180104,0.734521224,0.662140231,0.578436870,0.726136387,0.684448424,0.556791601,0.738233369,0.708886820,0.615994331,0.636020537,0.728187749,0.696797089,0.723463257,0.800845979,0.621730342,0.574713231,0.570063595,0.660774331,0.811188506,0.558471232,0.655163534,0.490533335,0.792593728,0.634092821,0.647097800,0.802785979,0.670086978,0.553932457,0.645015279,0.536760646,0.744494270,0.427967500,0.873452792,0.722555142,0.663375165,0.671999334,0.689991088,0.671511087,1.000000000,0.714816334,0.705600020,0.689860999,0.495094155,0.684918758,0.566282979,0.677797564,0.617408136,0.619558918,0.620167911,0.590379478,0.631884241,0.692308138,0.783466666,0.928910940,0.651906152,0.912238296,0.778271608,0.671244249,0.659693303,0.520690599,0.740623256,0.575243748,0.412508495,0.614902201,0.662897819,0.873936802,0.741152129,0.692558196,0.631705416,0.663011854,0.795098680,0.737376040,0.755087237,0.633140725,0.670357632,0.686875979,0.598316335,0.457484166,0.639224610
stage5c2_061,0.577978710,0.710953986,0.667717864,0.644078441,0.773862037,0.559725496,0.532075160,0.481079162,0.518134313,0.599999843,0.663956229,0.522651719,0.517205484,0.580013231,0.550707424,0.517233190,0.649296158,0.555774615,0.561333460,0.816320772,0.766323289,0.601196908,0.636096057,0.608260068,0.405348525,0.616852437,0.741721050,0.485625856,0.516423895,0.547247251,0.691378335,0.527337818,0.767365103,0.638601280,0.664028655,0.520696987,0.554095566,0.589682195,0.355589066,0.522615729,0.622763956,0.640186131,0.715761204,0.638895423,0.729007168,0.588430783,0.741738120,0.511907150,0.407886949,0.463926938,0.296086325,0.636180040,0.608551437,0.515154374,0.613853431,0.658352763,0.501008528,0.714816334,1.000000000,0.634292719,0.711170034,0.564099682,0.471849677,0.505325307,0.552913180,0.555652335,0.621377388,0.478755142,0.488091473,0.580515961,0.712866379,0.767944614,0.750746292,0.652333136,0.734002299,0.644782855,0.552324426,0.601515868,0.410730185,0.557541006,0.414925475,0.629549218,0.547685659,0.656439714,0.735445089,0.605734160,0.577347766,0.397668933,0.566688407,0.585654845,0.589605842,0.658679705,0.687692045,0.629783938,0.576228073,0.343029804,0.399854345,0.600480959
stage5c2_062,0.466656967,0.756565750,0.568809463,0.645686439,0.625610568,0.748659436,0.800831615,0.552103124,0.537139396,0.666423075,0.744940223,0.551525951,0.540231453,0.691729692,0.674729639,0.551972557,0.661270115,0.666224892,0.722526111,0.629035024,0.632106852,0.451362015,0.687494339,0.659261337,0.510861593,0.634770389,0.622597871,0.605295583,0.604611123,0.537895469,0.736790481,0.841667998,0.695977126,0.673610705,0.619790262,0.541987435,0.762817488,0.679797932,0.683547524,0.679987876,0.438031208,0.575171896,0.680083380,0.530659528,0.610881193,0.604667101,0.522448535,0.467651232,0.416964809,0.508557763,0.294498934,0.625634466,0.678628798,0.635892117,0.562356463,0.537080897,0.609487576,0.705600020,0.634292719,1.000000000,0.546343036,0.465313716,0.599838637,0.455496331,0.666640712,0.543761200,0.662092954,0.486314571,0.529494801,0.508346539,0.551525055,0.636926909,0.663238386,0.595370274,0.636000825,0.697853161,0.567061151,0.638635254,0.468870439,0.705976783,0.492520894,0.343784496,0.637716402,0.667646111,0.725195342,0.688581893,0.619305046,0.665001144,0.653528003,0.512505384,0.720088160,0.715342417,0.744570257,0.748172152,0.638497776,0.693797565,0.431219016,0.449197166
stage5c2_063,0.620715390,0.597668275,0.677214042,0.594921348,0.654838605,0.461399291,0.463243573,0.498814198,0.506905745,0.455671901,0.553360628,0.353525935,0.493452336,0.573897276,0.615831927,0.528871007,0.642822732,0.473019224,0.450472948,0.706411068,0.543068844,0.481227527,0.498616836,0.573988775,0.437951557,0.597822637,0.658129183,0.486190896,0.472792579,0.509922938,0.684447280,0.460133638,0.608769822,0.537764808,0.549294472,0.578511970,0.403131086,0.542124893,0.314156066,0.535297353,0.511321730,0.546015236,0.652628779,0.496683772,0.705914738,0.654006382,0.746315303,0.529882109,0.384013298,0.474536142,0.189048662,0.719302963,0.527062870,0.516176427,0.695406929,0.610722969,0.509400461,0.689860999,0.711170034,0.546343036,1.000000000,0.507459355,0.482539383,0.504916023,0.665041576,0.566272661,0.557443448,0.561222933,0.440878683,0.472667754,0.754829369,0.712100300,0.704207135,0.625241239,0.669311536,0.574307101,0.448562175,0.565891754,0.433105634,0.523393399,0.427780866,0.593288954,0.620443787,0.458773188,0.627950178,0.595931461,0.550025177,0.361616530,0.463920821,0.638455143,0.551459652,0.598478211,0.546740294,0.583162160,0.644534508,0.295658924,0.415600066,0.488523222
stage5c2_064,0.392428354,0.519141918,0.496582297,0.721172320,0.763343588,0.549490294,0.588036258,0.615694775,0.819653686,0.605501849,0.824521144,0.535186551,0.437951513,0.549881414,0.315822054,0.750604038,0.513482074,0.336360716,0.595900236,0.694074461,0.628849839,0.875444636,0.465008116,0.794280808,0.463594167,0.533434268,0.731724417,0.603287091,0.719241492,0.263271065,0.495163299,0.447127517,0.606339774,0.725163049,0.714701026,0.815836378,0.437715996,0.694977896,0.167670219,0.455805346,0.563960279,0.378865426,0.785735765,0.520557065,0.791841500,0.319641092,0.507677181,0.479080434,0.537814586,0.230458986,0.364380471,0.642123752,0.582408134,0.538849747,0.185409314,0.759671725,0.498747536,0.495094155,0.564099682,0.465313716,0.507459355,1.000000000,0.266227242,0.709167867,0.693314568,0.808092902,0.406710696,0.411106119,0.549307794,0.727991742,0.844458886,0.593365701,0.494087834,0.520333759,0.474149215,0.552887857,0.756728536,0.727283095,0.539656177,0.382529908,0.433964876,0.236472544,0.359608784,0.722664650,0.685790780,0.686253375,0.477457467,0.498847918,0.464508400,0.614510332,0.547635589,0.629245390,0.769864388,0.475008396,0.651944790,0.389318357,0.527459032,0.601179960
stage5c2_065,0.638491801,0.730526769,0.607858477,0.679477521,0.468014916,0.617921194,0.675537587,0.591651065,0.324799460,0.456041108,0.441057454,0.450830824,0.732033858,0.603351652,0.706957622,0.416117735,0.776676239,0.657069884,0.504265158,0.469505750,0.414607379,0.327907302,0.594824819,0.487270680,0.611977497,0.768188645,0.417723040,0.530019613,0.460698078,0.874048645,0.585626369,0.639109410,0.621122491,0.511217919,0.300795009,0.363838161,0.492860715,0.585496479,0.665836551,0.743042143,0.308310176,0.701474664,0.414978249,0.648636451,0.560628173,0.722171474,0.476239432,0.666082220,0.540669886,0.791139181,0.506449451,0.621136641,0.610208263,0.664572331,0.520383392,0.447910615,0.690412810,0.684918758,0.471849677,0.599838637,0.482539383,0.266227242,1.000000000,0.452992802,0.592335417,0.374002770,0.642724944,0.745476576,0.596797391,0.454990149,0.395549521,0.716459285,0.620528769,0.637745082,0.692262524,0.712657222,0.448769876,0.443551542,0.613806816,0.699196001,0.655173833,0.118091656,0.571586746,0.562064381,0.676092871,0.627948197,0.838460024,0.612918348,0.699112207,0.552836509,0.732565736,0.584348164,0.447008550,0.603818294,0.689994942,0.703792638,0.461011117,0.658912798
stage5c2_066,0.471273902,0.525054383,0.509529884,0.718131687,0.673802929,0.539591328,0.477260215,0.828862037,0.863823878,0.682717578,0.626612444,0.417565147,0.640530919,0.679245470,0.505660389,0.735410090,0.589383484,0.396789891,0.448804372,0.672152393,0.437132953,0.694649365,0.457130443,0.869627192,0.695911262,0.750238281,0.508589902,0.771954642,0.862401479,0.471255671,0.513617127,0.456606135,0.506722505,0.457976635,0.522120649,0.735384790,0.418693406,0.744617355,0.304482157,0.359368117,0.737125006,0.445589940,0.576371480,0.567717454,0.688791884,0.571972779,0.444013696,0.744005298,0.847549792,0.377320281,0.629126153,0.799253949,0.792063801,0.717377547,0.340721653,0.780284093,0.704098000,0.566282979,0.505325307,0.455496331,0.504916023,0.709167867,0.452992802,1.000000000,0.670919501,0.819875997,0.435376478,0.676470022,0.801021346,0.839952447,0.730045689,0.649726101,0.495967579,0.539750330,0.506566353,0.657410121,0.807574623,0.866805341,0.752941208,0.537012280,0.727594876,0.268228835,0.389116793,0.792759911,0.758077777,0.778890593,0.626553834,0.703131415,0.547003559,0.689637064,0.712930226,0.659097862,0.541054850,0.447141602,0.758606107,0.537015253,0.749387812,0.797803655
stage5c2_067,0.415046850,0.679655095,0.536787216,0.787296565,0.753784491,0.608648670,0.743295281,0.673523712,0.783856053,0.544731952,0.718462697,0.578195886,0.648445060,0.608120067,0.489893289,0.853550123,0.673180947,0.513047141,0.540874878,0.650691663,0.483916950,0.668031564,0.506411941,0.799951595,0.597490332,0.627720213,0.662365320,0.604562010,0.661490433,0.509871114,0.707729495,0.625763057,0.601441932,0.666792403,0.500064131,0.687371123,0.496568898,0.746347565,0.465135060,0.543194029,0.463821434,0.504516672,0.633000706,0.515871738,0.793016237,0.533338943,0.496918897,0.632962017,0.573373298,0.424383582,0.367666461,0.775212182,0.643635524,0.627925243,0.534790081,0.737415775,0.611336563,0.677797564,0.552913180,0.666640712,0.665041576,0.693314568,0.592335417,0.670919501,1.000000000,0.759968471,0.579845686,0.546443792,0.604369154,0.711336352,0.711904971,0.705735062,0.622570255,0.563538593,0.630439119,0.619036988,0.676076304,0.750236747,0.607751440,0.486028790,0.500601540,0.268319613,0.637216494,0.648780772,0.762386481,0.712408982,0.659654863,0.625584748,0.562318035,0.727651723,0.656844902,0.649259495,0.655695376,0.557271859,0.740887989,0.578991755,0.602429291,0.634106202
stage5c2_068,0.339412990,0.560710026,0.410621495,0.658462116,0.703264986,0.542063380,0.568790205,0.666774357,0.845532173,0.674158190,0.713803440,0.504374449,0.600557483,0.635165655,0.484898220,0.820789552,0.552882785,0.396475362,0.533929112,0.718311168,0.480192653,0.815801096,0.378895631,0.890031712,0.596275873,0.672069993,0.601213665,0.662163852,0.810998324,0.366848177,0.648627074,0.497531870,0.501024451,0.524670398,0.521085045,0.792308508,0.415186901,0.728852021,0.312359706,0.390282752,0.715233284,0.374181926,0.669955013,0.439306243,0.739557892,0.501213794,0.468366041,0.600362923,0.647803481,0.309784961,0.458377728,0.731159965,0.691913680,0.694424460,0.410771973,0.768804996,0.610028628,0.617408136,0.555652335,0.543761200,0.566272661,0.808092902,0.374002770,0.819875997,0.759968471,1.000000000,0.410737752,0.444200522,0.631860021,0.876465917,0.787997158,0.606055201,0.499376458,0.498445408,0.508667824,0.537079865,0.844130761,0.860033865,0.694254461,0.467703929,0.507008683,0.363481194,0.354841179,0.758725371,0.767634654,0.768001552,0.521804289,0.648763883,0.453773763,0.758510801,0.595329053,0.664734739,0.659797388,0.422786091,0.677608340,0.496888735,0.636024298,0.727710958
stage5c2_069,0.752604888,0.644333144,0.744523238,0.771292063,0.543543174,0.677393102,0.709995010,0.663866263,0.414765373,0.506634013,0.556464556,0.488414785,0.577383577,0.564653403,0.606848283,0.502904210,0.809266972,0.877003727,0.481546317,0.489529851,0.492827104,0.412703250,0.778101398,0.594243083,0.493574224,0.712966532,0.468573992,0.491826330,0.488048025,0.590941131,0.605281732,0.741665509,0.683761617,0.547708660,0.439850340,0.403901052,0.655892190,0.649179635,0.675596052,0.735837712,0.403307258,0.745895594,0.651926848,0.774643975,0.561295401,0.687557941,0.561587159,0.491206092,0.468079060,0.642103158,0.309457177,0.590966947,0.635481214,0.647371242,0.468690234,0.608620866,0.475347963,0.619558918,0.621377388,0.662092954,0.557443448,0.406710696,0.642724944,0.435376478,0.579845686,0.410737752,1.000000000,0.634299002,0.533007500,0.474241649,0.449200261,0.736616242,0.607407091,0.840034756,0.654873481,0.787652213,0.519676465,0.606954160,0.596625515,0.594762247,0.643182012,0.285720105,0.763762248,0.612862899,0.684894812,0.722607748,0.774427183,0.624372330,0.704792255,0.443817205,0.671754826,0.547361519,0.681450977,0.825202420,0.725999512,0.642124908,0.427834621,0.507285168
