stage5c1_track_id,stage5c1_A01,stage5c1_A02,stage5c1_A03,stage5c1_A04,stage5c1_A05,stage5c1_B01,stage5c1_B02,stage5c1_B03,stage5c1_B04,stage5c1_B05,stage5c1_C01,stage5c1_C02,stage5c1_C03,stage5c1_C04,stage5c1_C05,stage5c1_D01,stage5c1_D02,stage5c1_D03,stage5c1_D04,stage5c1_D05,stage5c1_E01,stage5c1_E02,stage5c1_E03,stage5c1_E04,stage5c1_E05
stage5c1_C01,0.733504524,0.713441261,0.736810220,0.638538984,0.605391667,0.441676484,0.429443870,0.552817603,0.449831786,0.589261901,1.000000000,0.550568824,0.581318692,0.702864092,0.728187546,0.374721967,0.573704375,0.480720047,0.426196903,0.540549187,0.644675615,0.540607636,0.566882965,0.570714533,0.653104266
stage5c1_C02,0.768285628,0.636296349,0.592967564,0.682711313,0.615075490,0.640636353,0.388685164,0.616831339,0.459017977,0.693854998,0.550568824,1.000000000,0.465908527,0.802445803,0.742203169,0.472232970,0.578527598,0.588756406,0.528534267,0.717695808,0.551076350,0.427087378,0.550705964,0.517995659,0.603186629
stage5c1_C03,0.513384855,0.653027482,0.651541439,0.632416667,0.515112401,0.406065455,0.339291727,0.435404807,0.401030389,0.453063976,0.581318692,0.465908527,1.000000000,0.533136166,0.614514296,0.349381228,0.459858686,0.416953763,0.368996150,0.459450799,0.481878993,0.389904556,0.451810750,0.454740587,0.471483708
stage5c1_C04,0.749303079,0.673540300,0.634226135,0.698245066,0.599105900,0.546209088,0.390390513,0.587759616,0.511479969,0.639870168,0.702864092,0.802445803,0.533136166,1.000000000,0.773938772,0.515659801,0.673920741,0.586747783,0.571891219,0.680739985,0.556272690,0.496627355,0.643399525,0.593694363,0.645770800
stage5c1_C05,0.779769639,0.641362213,0.633095529,0.653617139,0.640892694,0.578426287,0.577374519,0.657003397,0.580200208,0.637713935,0.728187546,0.742203169,0.614514296,0.773938772,1.000000000,0.566839670,0.687400263,0.674315652,0.590902073,0.717519775,0.671407318,0.591379482,0.685555218,0.519609151,0.641790460
stage5c1_D01,0.433182601,0.354905171,0.298385117,0.363397511,0.394149070,0.789581896,0.635196296,0.833277396,0.915071565,0.626824392,0.374721967,0.472232970,0.349381228,0.515659801,0.566839670,1.000000000,0.611563915,0.797949927,0.740197422,0.622391325,0.550951657,0.555541093,0.602525349,0.282238555,0.631673802
stage5c1_D02,0.571974327,0.477472006,0.437174257,0.592992674,0.523652459,0.619011488,0.518070264,0.593578285,0.600071214,0.584160848,0.573704375,0.578527598,0.459858686,0.673920741,0.687400263,0.611563915,1.000000000,0.675940101,0.553709728,0.614180368,0.526174400,0.612416650,0.670804250,0.528217200,0.604525651
stage5c1_D03,0.509865243,0.427328318,0.366895429,0.460405406,0.498705662,0.811448843,0.640486082,0.818326142,0.772688545,0.620001069,0.480720047,0.588756406,0.416953763,0.586747783,0.674315652,0.797949927,0.675940101,1.000000000,0.633654284,0.636946197,0.640191118,0.551367265,0.620417802,0.399871838,0.673509343
stage5c1_D04,0.559377111,0.409847532,0.358230033,0.410480510,0.393779561,0.612004476,0.418839644,0.685439622,0.750567810,0.615605467,0.426196903,0.528534267,0.368996150,0.571891219,0.590902073,0.740197422,0.553709728,0.633654284,1.000000000,0.825693765,0.502786394,0.674547040,0.821404474,0.370546782,0.533016857
stage5c1_D05,0.761316732,0.567379052,0.484898052,0.631696614,0.587510396,0.619728992,0.407294334,0.691705159,0.660558988,0.678497056,0.540549187,0.717695808,0.459450799,0.680739985,0.717519775,0.622391325,0.614180368,0.636946197,0.825693765,1.000000000,0.601228405,0.632528918,0.841435312,0.587102738,0.641670389
stage5c1_E01,0.594287421,0.504906179,0.485404975,0.615943299,0.524796418,0.628228826,0.641649112,0.744128423,0.563620592,0.689554431,0.644675615,0.551076350,0.481878993,0.556272690,0.671407318,0.550951657,0.526174400,0.640191118,0.502786394,0.601228405,1.000000000,0.623045839,0.570765631,0.478164021,0.819267155
stage5c1_E02,0.506826812,0.438915864,0.424907809,0.429574348,0.472678401,0.524936177,0.564114196,0.559938453,0.571073121,0.629734440,0.540607636,0.427087378,0.389904556,0.496627355,0.591379482,0.555541093,0.612416650,0.551367265,0.674547040,0.632528918,0.623045839,1.000000000,0.733249502,0.349554222,0.552387079
stage5c1_E03,0.599447486,0.494810189,0.434816598,0.519585345,0.448418642,0.563381784,0.420412796,0.621290898,0.630379708,0.627556134,0.566882965,0.550705964,0.451810750,0.643399525,0.685555218,0.602525349,0.670804250,0.620417802,0.821404474,0.841435312,0.570765631,0.733249502,1.000000000,0.442910311,0.569171434
stage5c1_E04,0.637527784,0.586180093,0.559090258,0.710179897,0.620824886,0.326792378,0.197017321,0.444489755,0.364063802,0.469019330,0.570714533,0.517995659,0.454740587,0.593694363,0.519609151,0.282238555,0.528217200,0.399871838,0.370546782,0.587102738,0.478164021,0.349554222,0.442910311,1.000000000,0.700260159
stage5c1_E05,0.596848847,0.542414871,0.547149393,0.676644136,0.624940712,0.674456838,0.535689240,0.821730280,0.634885679,0.681082926,0.653104266,0.603186629,0.471483708,0.645770800,0.641790460,0.631673802,0.604525651,0.673509343,0.533016857,0.641670389,0.819267155,0.552387079,0.569171434,0.700260159,1.000000000
