stage5c1_track_id,stage5c1_A01,stage5c1_A02,stage5c1_A03,stage5c1_A04,stage5c1_A05,stage5c1_B01,stage5c1_B02,stage5c1_B03,stage5c1_B04,stage5c1_B05,stage5c1_C01,stage5c1_C02,stage5c1_C03,stage5c1_C04,stage5c1_C05,stage5c1_D01,stage5c1_D02,stage5c1_D03,stage5c1_D04,stage5c1_D05,stage5c1_E01,stage5c1_E02,stage5c1_E03,stage5c1_E04,stage5c1_E05
stage5c1_C01,0.719009511,0.734775719,0.772649922,0.695827365,0.611882204,0.448558319,0.443089578,0.537299260,0.441256409,0.596438049,1.000000000,0.581124770,0.617572391,0.704129096,0.688434980,0.323874442,0.566047868,0.415844510,0.439748215,0.569941400,0.598899731,0.533651020,0.563872820,0.592197159,0.640612977
stage5c1_C02,0.806814394,0.661996517,0.618488863,0.709199394,0.701479963,0.595486461,0.511310799,0.573882675,0.487806335,0.656149233,0.581124770,1.000000000,0.502926278,0.819459042,0.812537630,0.448072084,0.633664042,0.584283171,0.526698509,0.758908265,0.583137077,0.491343033,0.601975738,0.563643801,0.621727851
stage5c1_C03,0.572866717,0.659506659,0.703019776,0.661175164,0.596577005,0.437372711,0.399101795,0.481808620,0.431184210,0.538406158,0.617572391,0.502926278,1.000000000,0.549766528,0.671403154,0.365751113,0.507794116,0.415268815,0.399766790,0.509150080,0.522595817,0.421268070,0.466998945,0.545321683,0.546749697
stage5c1_C04,0.763092418,0.678959452,0.660133977,0.716272227,0.687962485,0.507257207,0.459561109,0.544774026,0.491855766,0.604167106,0.704129096,0.819459042,0.549766528,1.000000000,0.780939934,0.455234869,0.671057000,0.538559822,0.549460314,0.691631315,0.544762001,0.494269137,0.628790183,0.631945176,0.635728953
stage5c1_C05,0.769741543,0.689580580,0.694800622,0.705239782,0.678062233,0.610267051,0.644540481,0.673664046,0.580158142,0.657643782,0.688434980,0.812537630,0.671403154,0.780939934,1.000000000,0.542628447,0.677050376,0.646043595,0.617435638,0.744247688,0.666767559,0.607480648,0.695523336,0.510222287,0.633340641
stage5c1_D01,0.415186200,0.370203907,0.293239360,0.361145276,0.382652384,0.795569490,0.745524229,0.832326841,0.911291707,0.613191151,0.323874442,0.448072084,0.365751113,0.455234869,0.542628447,1.000000000,0.557405843,0.772037681,0.686512018,0.579109870,0.575355550,0.529953060,0.517656254,0.247339392,0.639053259
stage5c1_D02,0.572602518,0.508069700,0.466031124,0.603406856,0.550106894,0.627965133,0.531051137,0.573548559,0.558627037,0.584166789,0.566047868,0.633664042,0.507794116,0.671057000,0.677050376,0.557405843,1.000000000,0.637593154,0.551700021,0.618148948,0.472005784,0.604786000,0.647896064,0.506766333,0.566794361
stage5c1_D03,0.469850016,0.412101221,0.346867849,0.460782313,0.453040137,0.829237879,0.733195927,0.803146357,0.749267069,0.598847724,0.415844510,0.584283171,0.415268815,0.538559822,0.646043595,0.772037681,0.637593154,1.000000000,0.587094824,0.603909666,0.647096331,0.506134205,0.543510155,0.358479945,0.657124682
stage5c1_D04,0.620392133,0.450740633,0.406712087,0.461900476,0.405577008,0.587831588,0.509728091,0.657253210,0.702907260,0.643542167,0.439748215,0.526698509,0.399766790,0.549460314,0.617435638,0.686512018,0.551700021,0.587094824,1.000000000,0.833555601,0.569887837,0.709082179,0.835313654,0.383437324,0.547011323
stage5c1_D05,0.811858317,0.627198199,0.560942005,0.692050553,0.631945090,0.622481720,0.516777795,0.690287520,0.644647259,0.730433567,0.569941400,0.758908265,0.509150080,0.691631315,0.744247688,0.579109870,0.618148948,0.603909666,0.833555601,1.000000000,0.639767096,0.646819199,0.865605127,0.611978956,0.664171404
stage5c1_E01,0.577826705,0.492243372,0.479735405,0.619344771,0.528570250,0.687860044,0.692175284,0.799434358,0.619607940,0.761500343,0.598899731,0.583137077,0.522595817,0.544762001,0.666767559,0.575355550,0.472005784,0.647096331,0.569887837,0.639767096,1.000000000,0.613563877,0.563531497,0.450542299,0.810939514
stage5c1_E02,0.550537584,0.464172049,0.469974502,0.463972238,0.462310703,0.546617592,0.600799582,0.567820115,0.530573805,0.714722628,0.533651020,0.491343033,0.421268070,0.494269137,0.607480648,0.529953060,0.604786000,0.506134205,0.709082179,0.646819199,0.613563877,1.000000000,0.712971548,0.335782498,0.535534178
stage5c1_E03,0.655275906,0.508904417,0.482731191,0.568838775,0.466015503,0.549305606,0.456069032,0.611869995,0.559323736,0.671569923,0.563872820,0.601975738,0.466998945,0.628790183,0.695523336,0.517656254,0.647896064,0.543510155,0.835313654,0.865605127,0.563531497,0.712971548,1.000000000,0.462771813,0.553541562
stage5c1_E04,0.635941221,0.662076885,0.635316183,0.755015677,0.668691864,0.304143099,0.232201668,0.411166960,0.360734663,0.475312463,0.592197159,0.563643801,0.545321683,0.631945176,0.510222287,0.247339392,0.506766333,0.358479945,0.383437324,0.611978956,0.450542299,0.335782498,0.462771813,1.000000000,0.696142824
stage5c1_E05,0.572300621,0.571360521,0.570103575,0.695967694,0.648560134,0.695816492,0.592611246,0.840240730,0.670537219,0.703678528,0.640612977,0.621727851,0.546749697,0.635728953,0.633340641,0.639053259,0.566794361,0.657124682,0.547011323,0.664171404,0.810939514,0.535534178,0.553541562,0.696142824,1.000000000
